values,,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z
Sensor,Sample,,,
1,30,-0.05700820173827886,0.082959970620639,0.014861060105276044
1,31,-0.05734484024972457,0.08270902191210674,0.015717958134410577
1,32,-0.05719182274452197,0.08276410821397968,0.015705716733994367
1,33,-0.05719794344473008,0.08273962541314726,0.015668992532745746
1,34,-0.05719794344473008,0.08273962541314726,0.015668992532745746
1,35,-0.05725302974660301,0.08317419512792264,0.015442526625045905
1,36,-0.057448892153262335,0.0829538499204309,0.014940629207981393
1,37,-0.057448892153262335,0.0829538499204309,0.014940629207981393
1,38,-0.05734484024972457,0.08289264291834986,0.015620026931080916
1,39,-0.057075529440568,0.08314359162688212,0.015601664830456604
1,40,-0.057075529440568,0.08314359162688212,0.015601664830456604
1,41,-0.05737544375076509,0.08299057412167951,0.015485371526502631
1,42,-0.05699596033786265,0.08292324641939038,0.015509854327335046
1,43,-0.05699596033786265,0.08292324641939038,0.015509854327335046
1,44,-0.0572285469457706,0.08267229771085813,0.01572407883461868
1,45,-0.057136736442649036,0.08276410821397968,0.015552699228791775
1,46,-0.05705104663973558,0.08317419512792264,0.015607785530664709
1,47,-0.05705104663973558,0.08317419512792264,0.015607785530664709
1,48,-0.0572285469457706,0.08303953972334435,0.0154364059248378
1,49,-0.05728975394785163,0.08272126331252296,0.015393561023381075
1,50,-0.05708777084098421,0.08284979801689313,0.015020198310686742
1,51,-0.05708777084098421,0.08272126331252296,0.015460888725670216
1,52,-0.0572346676459787,0.08428816256579753,0.015681233933161953
1,53,-0.05708777084098421,0.08320479862896316,0.015681233933161953
1,54,-0.057338719549516456,0.08305790182396866,0.015840372138572652
1,55,-0.05717346064389767,0.08303341902313624,0.015252784918594687
1,56,-0.05745501285347043,0.08289264291834986,0.015815889337740238
1,57,-0.057204064144938185,0.08303953972334435,0.015650630432121435
1,58,-0.057265271147019216,0.08301505692251193,0.015430285224629697
1,59,-0.057136736442649036,0.0831191088260497,0.015822010037948343
