X,Y,Z,MagneticField_X,MagneticField_Y,MagneticField_Z
-4,-9,0,-0.010836075407026562,-0.0171714824335904,0.025072183865834253
-4,-9,1,-0.01067834496266373,-0.015607337495409476,0.025087669237360756
-4,-9,2,-0.010564255110784671,-0.01465703758109928,0.02388862406659322
-4,-9,3,-0.01006407148977843,-0.013772780022034522,0.023127025339698862
-4,-9,4,-0.009725413147264047,-0.012817705961562004,0.022056943322316072
-4,-9,5,-0.009359823723834006,-0.011962338107479497,0.02106508385359285
-4,-8,0,-0.010850030603501041,-0.017374873301505694,0.025048129514016405
-4,-8,1,-0.010678957032684538,-0.015664994491369814,0.025093483902558455
-4,-8,2,-0.010528571428571429,-0.014620803035867304,0.023901355123026075
-4,-8,3,-0.010086779287550494,-0.013661750520259518,0.02309323907455013
-4,-8,4,-0.009729024360386827,-0.012698229893499818,0.022045191577916515
-4,-8,5,-0.00941093157057167,-0.011902171624433836,0.02107095972579263
-4,-7,0,-0.010871391847227324,-0.017208084220834863,0.025062329538499205
-4,-7,1,-0.010732941608520015,-0.015704534214714162,0.025067532133676095
-4,-7,2,-0.01063188884808422,-0.014846044803525523,0.023937283633247645
-4,-7,3,-0.010138009548292325,-0.013850390500673278,0.02312084343248868
-4,-7,4,-0.009668245807320355,-0.0126595470681846,0.02204959848206635
-4,-7,5,-0.009437923858489409,-0.012022627004529319,0.02110162443383523
-4,-6,0,-0.010813796058269064,-0.0172880205655527,0.025042253641816625
-4,-6,1,-0.01066891908434325,-0.015520974415473131,0.02501140531276778
-4,-6,2,-0.01058065858734239,-0.014725160974415475,0.023896030113845026
-4,-6,3,-0.010094001713796059,-0.01370783939282654,0.02302768637532134
-4,-6,4,-0.009738695066715632,-0.012777003305178114,0.022069490757742685
-4,-6,5,-0.009442759211653811,-0.011978680377035134,0.021123536540580246
-4,-5,0,-0.010775541681968415,-0.01720324886767046,0.02509856408373118
-4,-5,1,-0.010698604480352553,-0.015689966948218878,0.024986738890929124
-4,-5,2,-0.010596205165870974,-0.014584813318643653,0.023939793120332967
-4,-5,3,-0.010028816256579753,-0.013766904149834742,0.02330336271269433
-4,-5,4,-0.009728840739380584,-0.012749460154241646,0.02207144938180928
-4,-5,5,-0.009415154853715267,-0.01201442526625046,0.02107897784306525
-4,-4,0,-0.010770706328804017,-0.01713836944546456,0.02512733137470927
-4,-4,1,-0.010708213979679276,-0.01568770228914188,0.025045558819929002
-4,-4,2,-0.010611690537397477,-0.01476616966580977,0.023951483657730446
-4,-4,3,-0.010120810380707553,-0.01365177377892031,0.023031603623454522
-4,-4,4,-0.009738389031705229,-0.012815074060472519,0.02203258293548782
