,SampleID,Accelerometerx,Accelerometery,Accelerometerz,Magnetometerx,Magnetometery,Magnetometerz,Gyroscopex,Gyroscopey,Gyroscopez,EulerAngx,EulerAngy,EulerAngz,Quaternionx,Quaterniony,Quaternionz,LinearAccelerationx,LinearAccelerationy,LinearAccelerationz,Gravityx,Gravityy,Gravityz
47,0.05,-0.38,9.4,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,-0.02,-0.39,0.05,-0.36,9.790000000000001
48,0.01,-0.39,9.39,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.001090830782496456,0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.43,0.05,-0.36,9.790000000000001
49,0.06,-0.38,9.39,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.002181661564992912,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,0.01,-0.39,0.05,-0.36,9.790000000000001
50,0.03,-0.36,9.38,-2048.0,-2048.0,-2048.0,0.003272492347489368,0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.02,-0.4,0.05,-0.36,9.790000000000001
51,0.03,-0.38,9.44,-2048.0,-2048.0,-2048.0,0.002181661564992912,-0.001090830782496456,0.001090830782496456,9.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.4,0.05,-0.36,9.790000000000001
52,0.03,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.001090830782496456,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.03,0.01,-0.39,0.05,-0.36,9.790000000000001
53,0.04,-0.36,9.39,-2048.0,-2048.0,-2048.0,0.003272492347489368,0.001090830782496456,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.01,-0.39,0.05,-0.36,9.790000000000001
54,0.03,-0.38,9.42,-2048.0,-2048.0,-2048.0,0.002181661564992912,-0.001090830782496456,-0.001090830782496456,9.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.02,-0.4,0.05,-0.36,9.790000000000001
55,0.04,-0.37,9.370000000000001,-2048.0,-2048.0,-2048.0,0.001090830782496456,0.001090830782496456,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.01,0.0,-0.39,0.05,-0.36,9.790000000000001
56,0.04,-0.35000000000000003,9.4,-2048.0,-2048.0,-2048.0,0.003272492347489368,0.001090830782496456,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.01,-0.4,0.05,-0.36,9.790000000000001
57,0.05,-0.33,9.39,-2048.0,-2048.0,-2048.0,0.003272492347489368,-0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.39,0.05,-0.36,9.790000000000001
58,0.03,-0.34,9.38,-2048.0,-2048.0,-2048.0,0.002181661564992912,0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.4,0.05,-0.36,9.790000000000001
59,0.06,-0.37,9.38,-2048.0,-2048.0,-2048.0,0.002181661564992912,0.001090830782496456,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.4,0.05,-0.36,9.790000000000001
60,0.04,-0.35000000000000003,9.43,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,-0.03,-0.44,0.05,-0.36,9.790000000000001
61,0.04,-0.37,9.39,-2048.0,-2048.0,-2048.0,0.002181661564992912,0.001090830782496456,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.03,0.01,-0.41000000000000003,0.05,-0.36,9.790000000000001
62,0.05,-0.36,9.35,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.001090830782496456,0.003272492347489368,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.39,0.05,-0.36,9.790000000000001
63,0.05,-0.38,9.370000000000001,-2048.0,-2048.0,-2048.0,0.0,0.002181661564992912,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.42,0.05,-0.36,9.790000000000001
64,0.05,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,0.001090830782496456,0.002181661564992912,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.41000000000000003,0.05,-0.36,9.790000000000001
65,0.04,-0.37,9.4,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.03,0.02,-0.38,0.05,-0.36,9.790000000000001
66,0.03,-0.37,9.370000000000001,-2048.0,-2048.0,-2048.0,0.003272492347489368,-0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,-0.04,-0.38,0.05,-0.36,9.790000000000001
67,0.05,-0.38,9.38,-2048.0,-2048.0,-2048.0,0.001090830782496456,0.0,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.39,0.05,-0.36,9.790000000000001
68,0.04,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,0.002181661564992912,0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.44,0.05,-0.36,9.790000000000001
