Time,X,Y,Z
2025-03-26T15:55:37.256,     109.22,      197.35,      140.82
2025-03-26T15:55:37.757,     109.22,      197.33,      140.83
2025-03-26T15:55:38.273,     109.23,      197.33,      140.78
2025-03-26T15:55:38.788,     109.22,      197.33,      140.80
2025-03-26T15:55:39.336,     109.23,      197.33,      140.78
2025-03-26T15:55:39.871,     109.22,      197.33,      140.79
2025-03-26T15:55:40.372,     109.24,      197.32,      140.78
2025-03-26T15:55:40.887,     109.24,      197.34,      140.81
2025-03-26T15:55:41.402,     109.22,      197.33,      140.81
2025-03-26T15:55:41.919,     109.24,      197.33,      140.80
2025-03-26T15:55:42.469,     109.23,      197.34,      140.80
2025-03-26T15:55:42.984,     109.23,      197.35,      140.80
2025-03-26T15:55:43.536,     109.23,      197.34,      140.82
2025-03-26T15:55:44.050,     109.22,      197.34,      140.82
2025-03-26T15:55:44.566,     109.23,      197.32,      140.76
2025-03-26T15:55:45.081,     109.24,      197.32,      140.78
2025-03-26T15:55:45.585,     109.23,      197.33,      140.80
2025-03-26T15:55:46.099,     109.24,      197.32,      140.80
2025-03-26T15:55:46.613,     109.23,      197.34,      140.83
2025-03-26T15:55:47.114,     109.23,      197.33,      140.78
2025-03-26T15:55:47.629,     109.23,      197.35,      140.78
2025-03-26T15:55:48.129,     109.23,      197.32,      140.80
2025-03-26T15:55:48.645,     109.22,      197.33,      140.78
2025-03-26T15:55:49.161,     109.22,      197.33,      140.77
2025-03-26T15:55:49.660,     109.22,      197.34,      140.81
2025-03-26T15:55:50.179,     109.24,      197.33,      140.76
2025-03-26T15:55:50.694,     109.22,      197.33,      140.79
2025-03-26T15:55:51.243,     109.23,      197.31,      140.78
2025-03-26T15:55:51.760,     109.24,      197.35,      140.78
2025-03-26T15:55:52.326,     109.22,      197.35,      140.81
2025-03-26T15:55:52.874,     109.22,      197.33,      140.82
2025-03-26T15:55:53.389,     109.22,      197.32,      140.78
2025-03-26T15:55:53.906,     109.22,      197.33,      140.81
2025-03-26T15:55:54.439,     109.22,      197.33,      140.78
2025-03-26T15:55:54.955,     109.23,      197.33,      140.77
2025-03-26T15:55:55.470,     109.23,      197.32,      140.77
2025-03-26T15:55:55.971,     109.23,      197.32,      140.79
2025-03-26T15:55:56.488,     109.22,      197.32,      140.82
2025-03-26T15:55:57.004,     109.23,      197.35,      140.80
2025-03-26T15:55:57.553,     109.22,      197.35,      140.80
2025-03-26T15:55:58.069,     109.22,      197.33,      140.82
2025-03-26T15:55:58.585,     109.23,      197.32,      140.78
2025-03-26T15:55:59.101,     109.23,      197.33,      140.80
2025-03-26T15:55:59.650,     109.23,      197.33,      140.75
2025-03-26T15:56:00.166,     109.23,      197.32,      140.78
2025-03-26T15:56:00.683,     109.23,      197.33,      140.79
2025-03-26T15:56:01.183,     109.23,      197.33,      140.77
2025-03-26T15:56:01.700,     109.24,      197.34,      140.79
2025-03-26T15:56:02.214,     109.23,      197.35,      140.81
2025-03-26T15:56:02.732,     109.23,      197.33,      140.78
2025-03-26T15:56:03.278,     109.23,      197.34,      140.77
2025-03-26T15:56:03.795,     109.24,      197.32,      140.80
2025-03-26T15:56:04.312,     109.24,      197.33,      140.79
2025-03-26T15:56:04.862,     109.23,      197.36,      140.78
2025-03-26T15:56:05.050,        NaN,         NaN,         NaN
2025-03-26T15:56:05.728,        NaN,         NaN,         NaN
2025-03-26T15:56:05.876,     109.22,      197.33,      140.75
2025-03-26T15:56:06.393,     109.23,      197.31,      140.73
2025-03-26T15:56:06.908,     109.24,      197.32,      140.80
2025-03-26T15:56:07.408,     109.23,      197.34,      140.77
2025-03-26T15:56:07.924,     109.23,      197.34,      140.76
2025-03-26T15:56:08.363,        NaN,         NaN,         NaN
2025-03-26T15:56:24.541,        NaN,         NaN,         NaN
2025-03-26T15:56:24.840,     109.24,      197.33,      140.80
2025-03-26T15:56:25.356,     109.24,      197.33,      140.83
2025-03-26T15:56:25.872,     109.23,      197.35,      140.77
2025-03-26T15:56:26.439,     109.23,      197.32,      140.76
2025-03-26T15:56:26.953,     109.23,      197.34,      140.80
2025-03-26T15:56:27.454,     109.22,      197.32,      140.81
2025-03-26T15:56:27.970,     109.21,      197.34,      140.78
2025-03-26T15:56:28.487,     109.23,      197.34,      140.76
2025-03-26T15:56:29.034,     109.23,      197.33,      140.80
2025-03-26T15:56:29.652,     109.23,      197.33,      140.80
2025-03-26T15:56:30.201,     109.23,      197.33,      140.77
2025-03-26T15:56:30.717,     109.22,      197.34,      140.82
2025-03-26T15:56:31.232,     109.23,      197.33,      140.73
2025-03-26T15:56:31.732,     109.22,      197.33,      140.81
2025-03-26T15:56:32.248,     109.23,      197.32,      140.78
2025-03-26T15:56:32.765,     109.23,      197.33,      140.78
2025-03-26T15:56:33.280,     109.22,      197.35,      140.80
2025-03-26T15:56:33.796,     109.22,      197.34,      140.78
2025-03-26T15:56:34.297,     109.22,      197.30,      140.73
2025-03-26T15:56:34.814,     109.22,      197.36,      140.78
2025-03-26T15:56:35.327,     109.23,      197.33,      140.80
2025-03-26T15:56:35.844,     109.23,      197.31,      140.81
2025-03-26T15:56:36.361,     109.22,      197.34,      140.78
2025-03-26T15:56:36.862,     109.23,      197.34,      140.77
2025-03-26T15:56:37.376,     109.23,      197.32,      140.77
2025-03-26T15:56:37.941,     109.22,      197.33,      140.77
