No.,X,Y,Z,Displacement [mm]
  252,      -1.01,       -0.14,        0.21,       1.04
  253,      -1.04,       -0.12,        0.24,       1.07
  254,      -1.04,       -0.08,        0.28,       1.08
  255,      -1.01,       -0.13,        0.23,       1.05
  256,      -1.02,       -0.10,        0.31,       1.07
  257,      -0.95,       -0.12,        0.20,       0.97
  258,      -0.39,       -0.07,        0.06,       0.40
  259,       0.07,        0.02,        0.07,       0.10
  260,       0.11,       -0.00,        0.06,       0.12
  261,       0.12,        0.01,        0.04,       0.12
  262,       0.11,        0.02,        0.04,       0.12
  263,       0.11,        0.01,        0.06,       0.12
  264,       0.11,       -0.01,        0.06,       0.12
  265,       0.12,        0.01,        0.06,       0.13
  266,       0.10,        0.02,        0.03,       0.11
  267,       0.12,        0.01,        0.04,       0.12
  268,       0.13,        0.02,        0.04,       0.14
  269,       0.13,        0.02,        0.04,       0.14
  270,       0.12,        0.01,        0.07,       0.13
  271,       0.10,        0.02,        0.06,       0.11
  272,       0.11,        0.02,        0.05,       0.13
  273,       0.11,        0.00,        0.03,       0.11
  274,       0.12,        0.03,        0.04,       0.13
  275,       0.12,        0.02,        0.03,       0.13
  276,       0.12,        0.02,        0.06,       0.13
  277,       0.12,        0.03,        0.07,       0.15
  278,       0.12,        0.01,        0.05,       0.13
  279,       0.12,        0.01,        0.04,       0.13
  280,       0.13,        0.02,        0.06,       0.15
  281,       0.12,        0.02,        0.09,       0.15
  282,       0.11,        0.00,        0.04,       0.12
  283,       0.11,        0.02,        0.07,       0.14
  284,       0.11,        0.02,        0.05,       0.12
  285,       0.06,        0.02,        0.07,       0.09
  286,       0.04,        0.02,        0.05,       0.07
  287,       0.00,        0.01,       -0.05,       0.05
  288,      -0.03,        0.02,       -0.04,       0.05
  289,      -0.12,        0.09,       -0.25,       0.29
  290,      -0.38,        0.28,       -0.64,       0.80
  291,      -0.44,        0.32,       -0.73,       0.91
  292,      -0.58,        0.34,       -0.86,       1.09
  293,      -0.54,        0.36,       -0.85,       1.07
  294,      -0.53,        0.34,       -0.85,       1.06
  295,      -0.55,        0.32,       -0.83,       1.05
  296,      -0.55,        0.32,       -0.79,       1.01
  297,      -0.53,        0.32,       -0.78,       1.00
  298,      -0.50,        0.32,       -0.81,       1.00
  299,      -0.48,        0.32,       -0.75,       0.94
  300,      -0.46,        0.29,       -0.73,       0.91
  301,      -0.46,        0.29,       -0.72,       0.90
  302,      -0.46,        0.30,       -0.74,       0.92
  303,      -0.47,        0.31,       -0.71,       0.90
  304,      -0.48,        0.29,       -0.77,       0.95
  305,      -0.49,        0.31,       -0.69,       0.90
  306,      -0.32,        0.22,       -0.53,       0.65
  307,      -0.01,        0.12,       -0.13,       0.18
  308,       0.01,        0.10,       -0.15,       0.18
  309,       0.03,        0.10,       -0.20,       0.22
  310,       0.03,        0.09,       -0.17,       0.20
