,x,y,z,Mx,My,Mz,Mx_std,My_std,Mz_std
723,-3.2,4.0,5.6,1.5680000000000005,-3.3555200000000007,3.136000000000001,4.463264492478967e-16,0.5468166180150105,8.926528984957934e-16
724,3.2,0.8,7.2,-3.136000000000001,-1.4268800000000004,3.136000000000001,8.926528984957934e-16,0.450993634302989,8.926528984957934e-16
725,-2.4,1.6,9.6,0.39592000000000005,-1.5680000000000005,1.5680000000000005,0.1499694029400058,4.463264492478967e-16,4.463264492478967e-16
726,-4.0,0.0,11.2,0.4988200000000001,0.003919999999999995,1.5680000000000005,0.1336723251277186,0.44506078758576856,4.463264492478967e-16
727,1.6,-4.0,7.2,-1.5680000000000005,1.5680000000000005,3.136000000000001,4.463264492478967e-16,4.463264492478967e-16,8.926528984957934e-16
728,-2.4,-4.0,9.6,0.39592000000000005,1.1358200000000003,1.5680000000000005,0.13712927470018202,0.15136979803638426,4.463264492478967e-16
729,0.8,0.8,8.8,-1.5680000000000005,-1.3602400000000003,3.136000000000001,4.463264492478967e-16,0.5404208819956625,8.926528984957934e-16
730,0.8,-1.6,8.0,-1.5680000000000005,1.0054800000000002,3.136000000000001,4.463264492478967e-16,0.12506761645953238,8.926528984957934e-16
731,-1.6,3.2,9.6,-0.049,-1.5680000000000005,1.5680000000000005,0.5167870045587526,4.463264492478967e-16,4.463264492478967e-16
732,0.0,-2.4,9.6,-1.5052800000000002,0.8967000000000003,1.5680000000000005,0.30881193256894995,0.1395520611735197,4.463264492478967e-16
